Empresa,Receita Líq.,Lucro Líquido,Rentabilidade Receita,Capital de Giro,Sub-região,Cidade_normalizada,Cidade
REDE CULTURAL - CONSULTORIA E PROJETOS PARA EDUCAÇÃO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REF COMERCIO CARNES FRIOS LATIC LTD A,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REFORPAN INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,ND,ND,ND,ND,Desconhecida,piraquara,Piraquara
REFREX BRASIL INDUSTRIA E COMERCIO LTDA,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
REFRICAL COMÉRCIO DE MAQUINAS E EQUIPAMENTOS LTDA ME,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REFRIGERAÇÃO CURITIBA LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REFRIGERACAO DUFRIO COMERCIO E IMPORTACAO LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REGENTE COMERCIO DE FERRAGENS LTDA,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REGINA CELMA LISBOA MIRANDA DAROS,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
REGINE HANA NOORDEGRAAF,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RELEVO ARTEFATOS DE PAPEL LTDA EPP,ND,ND,ND,ND,Desconhecida,almirante tamandare,Almirante Tamandaré
RELEVO GUARDANAPOS ESPECIAIS LTDA.,ND,ND,ND,ND,Desconhecida,almirante tamandare,Almirante Tamandaré
RELI INDUSTRIA METALURGICA LTDA,ND,ND,ND,ND,Desconhecida,almirante tamandare,Almirante Tamandaré
RENATA KHURY FERREIRA DO AMARAL,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
RENATA RAVAGLIO,ND,ND,ND,ND,Desconhecida,sao jose dos pinhais,São José dos Pinhais
RENATO ALCIDES TROMBINI,ND,ND,ND,ND,Desconhecida,curitiba,Curitiba
